
         15500315 function calls (15378581 primitive calls) in 64.717 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      700    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:68(_path_stat)
     1773    0.002    0.000    0.002    0.000 {method 'lower' of 'str' objects}
      990    0.002    0.000    0.002    0.000 version.py:207(<genexpr>)
     1499    0.002    0.000    0.002    0.000 {built-in method _sre.getlower}
      154    0.002    0.000    0.002    0.000 {method 'read' of '_io.FileIO' objects}
      256    0.002    0.000    0.002    0.000 binary.py:4(int_to_bin)
      349    0.002    0.000    0.004    0.000 sre_compile.py:386(_simple)
      990    0.002    0.000    0.002    0.000 version.py:244(<genexpr>)
  416/345    0.002    0.000    0.098    0.000 <frozen importlib._bootstrap>:996(_handle_fromlist)
     1669    0.002    0.000    0.002    0.000 {built-in method builtins.ord}
       91    0.002    0.000    0.004    0.000 pyparsing.py:2266(__init__)
      280    0.002    0.000    0.002    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
      402    0.002    0.000    0.003    0.000 __init__.py:2333(<lambda>)
      107    0.002    0.000    0.003    0.000 copy.py:269(_reconstruct)
      229    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:176(_get_module_lock)
      134    0.002    0.000    0.002    0.000 {method 'splitlines' of 'str' objects}
      430    0.002    0.000    0.003    0.000 __init__.py:2415(key)
      134    0.002    0.000    0.050    0.000 __init__.py:2328(_version_from_file)
      534    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:852(__enter__)
        5    0.002    0.000    0.007    0.001 enum.py:547(<dictcomp>)
      174    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:321(__exit__)
      928    0.002    0.000    0.002    0.000 {method 'find' of 'bytearray' objects}
      174    0.001    0.000    0.021    0.000 <frozen importlib._bootstrap>:570(module_from_spec)
      226    0.001    0.000    0.002    0.000 {built-in method builtins.any}
       81    0.001    0.000    0.245    0.003 sre_compile.py:531(compile)
      330    0.001    0.000    0.002    0.000 socket.py:76(<lambda>)
      231    0.001    0.000    0.001    0.000 pyparsing.py:805(__init__)
      154    0.001    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:474(_compile_bytecode)
      534    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:856(__exit__)
      134    0.001    0.000    0.029    0.000 {built-in method builtins.next}
       34    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
      308    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:56(_path_split)
      107    0.001    0.000    0.006    0.000 copy.py:67(copy)
        1    0.001    0.001    0.045    0.045 pyparsing.py:58(<module>)
      229    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:119(release)
      493    0.001    0.000    0.002    0.000 posixpath.py:39(_get_sep)
      184    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:163(__enter__)
      229    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:94(acquire)
      331    0.001    0.000    0.002    0.000 socket.py:81(<lambda>)
    154/7    0.001    0.000    0.662    0.095 <frozen importlib._bootstrap_external>:659(exec_module)
      110    0.001    0.000    0.004    0.000 enum.py:51(__setitem__)
      160    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:513(spec_from_file_location)
      834    0.001    0.000    0.001    0.000 version.py:298(_parse_letter_version)
       72    0.001    0.000    0.005    0.000 __init__.py:1859(get_metadata)
        1    0.001    0.001    0.003    0.003 zipfile.py:1085(_RealGetContents)
      587    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
      431    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1064(_path_importer_cache)
      163    0.001    0.000    0.002    0.000 sre_parse.py:312(_class_escape)
      134    0.001    0.000    0.002    0.000 sre_parse.py:78(opengroup)
        1    0.001    0.001    0.004    0.004 binary.py:1(<module>)
      439    0.001    0.000    0.002    0.000 sre_parse.py:75(groups)
      173    0.001    0.000    0.002    0.000 sre_parse.py:362(_escape)
       71    0.001    0.000    0.002    0.000 __init__.py:2596(<listcomp>)
    106/2    0.001    0.000    0.004    0.002 pyparsing.py:969(_parseNoCache)
      183    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:74(__init__)
      802    0.001    0.000    0.001    0.000 {method 'unpack' of 'Struct' objects}
      834    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
       81    0.001    0.000    0.161    0.002 sre_parse.py:819(parse)
        6    0.001    0.000    0.010    0.002 enum.py:314(_create_)
       71    0.001    0.000    0.004    0.000 __init__.py:2587(insert_on)
      654    0.001    0.000    0.001    0.000 container.py:34(__getitem__)
      734    0.001    0.000    0.001    0.000 {method 'isupper' of 'str' objects}
       72    0.001    0.000    0.002    0.000 {method 'read' of '_io.TextIOWrapper' objects}
      278    0.001    0.000    0.002    0.000 <string>:12(__new__)
      308    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:45(_r_long)
      160    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:342(_get_cached)
      352    0.001    0.000    0.001    0.000 py3compat.py:30(int2byte)
      162    0.001    0.000    0.004    0.000 __init__.py:1528(_fn)
       14    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
      146    0.001    0.000    0.024    0.000 __init__.py:2344(__init__)
      160    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1210(_get_spec)
       78    0.001    0.000    0.001    0.000 sections.py:26(__init__)
      134    0.001    0.000    0.052    0.000 __init__.py:2675(_reload_version)
      146    0.001    0.000    0.001    0.000 genericpath.py:111(_splitext)
      314    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:406(cached)
