         13509479 function calls (13505344 primitive calls) in 67.098 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      610    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
      254    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:56(_path_split)
       91    0.001    0.000    0.004    0.000 pyparsing.py:2266(__init__)
      175    0.001    0.000    0.005    0.000 __init__.py:1528(_fn)
      468    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:852(__enter__)
      330    0.001    0.000    0.002    0.000 socket.py:76(<lambda>)
      169    0.001    0.000    0.002    0.000 sre_parse.py:312(_class_escape)
      426    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1064(_path_importer_cache)
      231    0.001    0.000    0.001    0.000 pyparsing.py:805(__init__)
      764    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
        1    0.001    0.001    0.001    0.001 raw.py:21(getExecSections)
       68    0.001    0.000    0.008    0.000 __init__.py:1579(_get)
      127    0.001    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:474(_compile_bytecode)
        1    0.001    0.001    0.003    0.003 zipfile.py:1085(_RealGetContents)
    106/2    0.001    0.000    0.004    0.002 pyparsing.py:969(_parseNoCache)
      849    0.001    0.000    0.001    0.000 version.py:298(_parse_letter_version)
       13    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
      162    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:163(__enter__)
      151    0.001    0.000    0.023    0.000 __init__.py:2344(__init__)
      110    0.001    0.000    0.001    0.000 sre_parse.py:797(fix_flags)
      133    0.001    0.000    0.002    0.000 sre_parse.py:78(opengroup)
      175    0.001    0.000    0.002    0.000 sre_parse.py:362(_escape)
      151    0.001    0.000    0.001    0.000 genericpath.py:111(_splitext)
    127/1    0.001    0.000    0.695    0.695 <frozen importlib._bootstrap_external>:659(exec_module)
       71    0.001    0.000    0.002    0.000 __init__.py:2102(fixup_namespace_packages)
      159    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__init__)
      147    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:321(__exit__)
      139    0.001    0.000    0.053    0.000 __init__.py:2675(_reload_version)
       28    0.001    0.000    0.004    0.000 ipaddress.py:2158(__init__)
      110    0.001    0.000    0.089    0.001 sre_compile.py:516(_code)
       72    0.001    0.000    0.001    0.000 {method 'read' of '_io.TextIOWrapper' objects}
       49    0.001    0.000    0.002    0.000 sre_parse.py:260(getuntil)
      134    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:513(spec_from_file_location)
      734    0.001    0.000    0.001    0.000 {method 'isupper' of 'str' objects}
     79/8    0.001    0.000    0.001    0.000 _endian.py:24(__setattr__)
        1    0.001    0.001    0.001    0.001 raw.py:12(__init__)
      261    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:406(cached)
      153    0.001    0.000    0.002    0.000 re.py:175(sub)
      166    0.001    0.000    0.003    0.000 genericpath.py:39(isdir)
      134    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:342(_get_cached)
      539    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
      150    0.001    0.000    0.002    0.000 enum.py:8(_is_descriptor)
       21    0.001    0.000    0.115    0.005 __init__.py:663(add_entry)
      110    0.001    0.000    0.001    0.000 sre_parse.py:217(__init__)
      151    0.001    0.000    0.003    0.000 posixpath.py:115(splitext)
